idx,node_id,work_node_id,google_min,google_mile,path4gmns_mile,path4gmns_km,gmns_google_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,97368,113372,22,10.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,90353,91340,14,11.4,18.11733125,28.98773,1.58923958333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,90353,91340,14,11.4,18.11733125,28.98773,1.58923958333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,75071,54711,10,7.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,68072,91340,9,3.4,5.3079875,8.49278,1.56117279411765,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,70372,77261,7,1.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,84949,91340,9,2.1,4.59799375,7.35679,2.18952083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,76568,54711,8,3.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,101882,54711,10,8.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,66341,54711,7,4.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,75510,91340,12,5,7.5042625,12.00682,1.5008525,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,68072,54711,5,1.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,63255,54711,6,3.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,73543,54711,17,14.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,3626,54711,24,20.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,103060,91340,18,16.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,114940,91340,7,2.6,13.7374,21.97984,5.28361538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,102988,91340,8,2.8,14.1653625,22.66458,5.05905803571429,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,72862,91340,10,5.6,10.947425,17.51588,1.95489732142857,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,85415,91340,10,4.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,54877,91340,20,17.6,12.21470625,19.54353,0.694017400568182,,,,,,,,,,,,,,,,,,,,,,,,,,,
